,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
59,COASTAL-CAROLINA,45.7,8.7,0.488,0.423,0.298,0.658,0.196,-0.8999999999999915,101.7,31.1,52.3,9.0,0.496,0.417,0.32,0.707,0.226,102.6,26.1,8.3,0.468,0.336,48.0,0.529,0.489,71.0,-3.94,8.5,-1.48,0.399,0.33,52.0,0.514,15.6,0.484,0.513,1157
60,COLGATE,55.6,7.7,0.52,0.44,0.335,0.677,0.227,-5.900000000000006,99.0,25.1,53.6,10.4,0.524,0.452,0.381,0.692,0.264,104.9,25.4,11.0,0.388,0.375,50.3,0.556,0.5,66.4,-8.47,7.6,-3.6,0.432,0.37,49.7,0.547,19.3,0.493,0.313,1159
61,COLLEGE-OF-CHARLESTON,44.2,9.8,0.491,0.432,0.429,0.736,0.316,6.800000000000011,104.9,25.6,48.3,9.7,0.478,0.419,0.315,0.662,0.209,98.1,28.8,5.9,0.383,0.308,50.9,0.506,0.487,65.6,3.99,8.4,-0.19,0.36,0.328,49.1,0.539,14.0,0.49,0.714,1158
62,COLORADO-STATE,45.2,9.8,0.487,0.425,0.394,0.731,0.288,6.699999999999989,106.6,31.6,48.6,8.3,0.471,0.407,0.313,0.686,0.215,99.9,28.7,8.1,0.406,0.317,48.1,0.504,0.468,68.1,6.03,8.9,2.17,0.366,0.339,51.9,0.531,13.8,0.474,0.667,1161
63,COLORADO,53.4,11.9,0.508,0.446,0.386,0.704,0.272,4.799999999999997,108.7,32.7,49.5,10.3,0.502,0.432,0.335,0.707,0.237,103.9,28.0,8.1,0.381,0.367,47.9,0.535,0.472,69.0,9.12,7.3,6.0,0.36,0.348,52.1,0.544,14.8,0.5,0.559,1160
64,COLUMBIA,59.7,9.2,0.502,0.437,0.29,0.708,0.205,-1.2999999999999972,102.5,28.1,62.0,9.7,0.514,0.434,0.345,0.685,0.236,103.8,31.2,8.3,0.448,0.361,51.5,0.544,0.492,69.5,-5.67,10.0,-3.13,0.364,0.361,48.5,0.532,16.0,0.48,0.407,1162
65,CONNECTICUT,55.5,15.3,0.492,0.43,0.342,0.712,0.244,1.3999999999999915,102.1,29.9,53.3,7.9,0.459,0.393,0.316,0.703,0.222,100.7,30.1,9.2,0.398,0.334,49.1,0.496,0.432,65.4,7.23,6.7,6.61,0.347,0.355,50.9,0.528,16.0,0.47,0.485,1163
66,COPPIN-STATE,47.5,6.4,0.443,0.382,0.404,0.65,0.262,-17.700000000000003,93.1,28.4,52.8,9.6,0.539,0.47,0.402,0.697,0.281,110.8,32.9,8.2,0.394,0.35,53.7,0.57,0.548,70.5,-21.51,8.0,-8.01,0.384,0.318,46.3,0.482,16.7,0.422,0.25,1164
67,CORNELL,55.9,6.7,0.527,0.453,0.294,0.698,0.205,-7.900000000000006,99.8,22.5,50.2,10.9,0.517,0.456,0.314,0.737,0.232,107.7,26.8,10.6,0.342,0.354,51.3,0.55,0.509,71.3,-8.4,7.2,-1.55,0.437,0.339,48.7,0.553,18.3,0.542,0.276,1165
68,CREIGHTON,55.5,7.6,0.576,0.504,0.277,0.682,0.189,12.299999999999997,112.3,24.8,48.1,7.5,0.498,0.437,0.288,0.689,0.199,100.0,28.9,9.2,0.368,0.33,50.7,0.525,0.5,72.9,17.27,8.4,8.95,0.358,0.397,49.3,0.592,15.2,0.565,0.714,1166
69,DARTMOUTH,47.7,4.7,0.499,0.431,0.338,0.709,0.24,-11.199999999999989,97.9,27.6,43.8,14.1,0.532,0.47,0.307,0.709,0.218,109.1,26.9,9.9,0.357,0.351,49.5,0.56,0.536,68.2,-11.15,6.7,-3.45,0.386,0.352,50.5,0.534,19.1,0.481,0.259,1171
70,DAVIDSON,61.3,8.5,0.516,0.437,0.315,0.753,0.238,3.1000000000000085,105.4,25.1,51.5,10.8,0.497,0.432,0.334,0.69,0.23,102.3,26.9,9.6,0.337,0.381,50.4,0.528,0.458,69.5,6.45,7.3,4.26,0.46,0.341,49.6,0.552,15.4,0.519,0.531,1172
71,DAYTON,61.0,11.9,0.538,0.465,0.436,0.69,0.301,13.600000000000009,108.9,25.8,55.3,10.6,0.477,0.413,0.349,0.707,0.247,95.3,27.6,6.2,0.394,0.325,50.3,0.515,0.47,69.4,12.98,11.2,4.27,0.381,0.385,49.7,0.571,15.0,0.515,0.75,1173
72,DELAWARE-STATE,54.9,8.5,0.49,0.419,0.292,0.659,0.192,-9.700000000000003,98.6,29.3,59.8,9.2,0.521,0.446,0.377,0.723,0.273,108.3,35.6,9.3,0.427,0.35,53.8,0.557,0.517,68.4,-18.81,8.0,-9.37,0.39,0.362,46.2,0.515,17.0,0.456,0.313,1175
73,DELAWARE,49.7,9.7,0.475,0.422,0.326,0.686,0.224,-10.299999999999997,98.4,27.5,59.4,9.9,0.523,0.446,0.39,0.668,0.261,108.7,26.8,8.6,0.423,0.363,49.9,0.551,0.507,66.1,-9.97,8.0,-1.42,0.35,0.305,50.1,0.508,15.7,0.485,0.394,1174
74,DENVER,55.7,6.1,0.548,0.482,0.346,0.734,0.254,1.7000000000000028,109.0,28.8,46.2,8.9,0.514,0.445,0.391,0.739,0.289,107.3,24.7,9.9,0.388,0.358,46.9,0.555,0.5,69.0,-2.99,7.2,-4.19,0.33,0.402,53.1,0.58,17.1,0.521,0.533,1176
