,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
239,PEPPERDINE,52.0,7.1,0.495,0.446,0.3,0.641,0.192,-16.200000000000003,98.8,26.2,56.4,8.9,0.564,0.486,0.285,0.707,0.202,115.0,28.8,8.8,0.372,0.418,52.2,0.585,0.526,69.8,-10.0,7.3,1.87,0.266,0.369,47.8,0.517,15.8,0.473,0.29,1337
240,PITTSBURGH,58.6,8.7,0.514,0.442,0.394,0.733,0.289,-2.700000000000003,106.8,28.2,54.7,10.3,0.513,0.449,0.266,0.709,0.189,109.5,29.5,7.7,0.362,0.356,49.9,0.539,0.502,67.2,9.25,5.6,11.06,0.399,0.361,50.1,0.555,15.5,0.496,0.485,1338
241,PORTLAND-STATE,51.2,7.2,0.541,0.482,0.373,0.658,0.246,4.599999999999994,110.8,27.5,56.7,6.6,0.554,0.481,0.337,0.726,0.245,106.2,30.3,7.7,0.399,0.369,52.4,0.583,0.554,74.6,-7.06,12.9,-6.63,0.35,0.341,47.6,0.564,13.8,0.557,0.484,1340
242,PORTLAND,42.9,9.7,0.482,0.423,0.365,0.74,0.27,-7.3999999999999915,98.4,25.0,54.4,10.2,0.503,0.429,0.293,0.694,0.203,105.8,31.3,8.8,0.413,0.356,52.4,0.531,0.481,67.5,-5.81,7.2,2.32,0.32,0.373,47.6,0.526,16.8,0.446,0.333,1339
243,PRAIRIE-VIEW,51.3,10.6,0.493,0.428,0.358,0.703,0.252,-6.199999999999989,99.4,25.1,52.9,10.9,0.52,0.459,0.49,0.69,0.338,105.6,34.5,7.8,0.347,0.349,55.1,0.559,0.517,68.9,-14.54,11.9,-8.48,0.369,0.35,44.9,0.529,16.8,0.475,0.394,1341
244,PRESBYTERIAN,54.6,7.7,0.468,0.412,0.289,0.686,0.198,-20.5,92.3,29.1,56.0,10.2,0.543,0.458,0.363,0.705,0.256,112.8,32.1,12.6,0.438,0.388,51.8,0.572,0.512,66.1,-23.63,7.2,-5.95,0.323,0.346,48.2,0.499,19.7,0.444,0.167,1342
245,PRINCETON,55.2,9.5,0.537,0.45,0.242,0.738,0.179,15.599999999999994,109.5,24.4,48.6,8.4,0.478,0.416,0.318,0.689,0.219,93.9,23.9,6.8,0.374,0.332,50.0,0.511,0.466,65.2,6.57,10.2,-1.84,0.46,0.378,50.0,0.562,13.5,0.511,0.767,1343
246,PROVIDENCE,58.6,8.1,0.514,0.448,0.381,0.691,0.263,5.0,103.6,26.4,48.4,8.3,0.496,0.44,0.305,0.676,0.207,98.6,28.5,9.2,0.343,0.328,50.9,0.524,0.499,67.6,11.24,9.7,7.84,0.359,0.371,49.1,0.547,16.3,0.491,0.606,1344
247,PURDUE,65.3,6.1,0.557,0.479,0.333,0.757,0.252,16.0,112.6,30.7,50.0,8.6,0.477,0.421,0.229,0.707,0.162,96.6,24.2,9.2,0.339,0.332,45.1,0.503,0.466,70.0,20.13,7.3,8.79,0.383,0.403,54.9,0.589,16.1,0.527,0.771,1345
248,QUINNIPIAC,52.7,8.5,0.479,0.422,0.33,0.683,0.226,-8.799999999999997,101.7,34.1,55.3,8.1,0.526,0.464,0.382,0.739,0.282,110.5,30.2,10.4,0.325,0.38,49.1,0.565,0.505,74.8,-9.86,7.6,-3.22,0.349,0.326,50.9,0.512,16.2,0.474,0.323,1346
249,RADFORD,52.8,9.1,0.482,0.413,0.294,0.666,0.196,-7.3999999999999915,97.9,34.3,46.2,10.9,0.504,0.446,0.298,0.691,0.206,105.3,26.7,10.4,0.324,0.357,46.5,0.532,0.489,65.7,-11.34,7.2,-4.58,0.397,0.345,53.5,0.509,18.6,0.458,0.438,1347
250,RHODE-ISLAND,51.0,15.7,0.507,0.454,0.392,0.668,0.262,12.200000000000003,108.8,32.8,46.3,7.6,0.451,0.406,0.451,0.708,0.319,96.6,29.5,7.8,0.3,0.295,48.2,0.503,0.454,67.4,12.88,9.6,4.62,0.323,0.332,51.8,0.538,14.0,0.512,0.714,1348
251,RICE,51.2,8.9,0.542,0.462,0.419,0.74,0.31,7.700000000000003,108.4,28.8,48.4,7.9,0.492,0.439,0.354,0.707,0.25,100.7,25.9,9.6,0.323,0.33,47.7,0.529,0.491,74.4,0.51,8.4,-4.16,0.41,0.388,52.3,0.581,17.6,0.513,0.657,1349
252,RICHMOND,63.1,5.2,0.539,0.471,0.316,0.713,0.225,3.0999999999999943,105.6,20.7,53.0,8.8,0.499,0.442,0.346,0.733,0.254,102.5,30.7,8.0,0.355,0.321,54.3,0.538,0.509,69.7,5.45,9.4,3.28,0.398,0.342,45.7,0.566,14.8,0.556,0.629,1350
253,RIDER,51.4,9.3,0.49,0.446,0.37,0.672,0.248,-0.10000000000000853,101.8,33.1,52.3,7.9,0.49,0.428,0.359,0.742,0.267,101.9,27.1,9.6,0.365,0.337,47.2,0.532,0.48,74.0,-5.34,8.9,-5.28,0.265,0.332,52.8,0.522,16.7,0.487,0.545,1351
254,ROBERT-MORRIS,47.8,6.5,0.451,0.4,0.413,0.648,0.267,-4.8999999999999915,91.7,29.4,50.2,10.4,0.484,0.438,0.425,0.692,0.294,96.6,31.3,9.1,0.307,0.297,51.9,0.525,0.501,69.9,-8.56,11.3,-5.13,0.316,0.319,48.1,0.489,18.6,0.438,0.424,1352
255,RUTGERS,44.5,13.0,0.45,0.411,0.321,0.623,0.2,-2.4000000000000057,97.0,37.4,57.6,11.4,0.475,0.413,0.316,0.719,0.227,99.4,29.8,9.7,0.377,0.327,46.8,0.512,0.465,67.3,3.69,9.7,6.22,0.255,0.303,53.2,0.477,16.2,0.448,0.455,1353
256,SACRAMENTO-STATE,50.5,11.1,0.505,0.459,0.374,0.651,0.243,-4.6000000000000085,103.6,28.2,53.4,7.2,0.517,0.452,0.319,0.709,0.226,108.2,27.9,8.2,0.337,0.381,49.7,0.547,0.488,67.6,-10.69,6.8,-5.58,0.288,0.316,50.3,0.532,14.8,0.517,0.419,1170
257,SACRED-HEART,55.2,7.1,0.495,0.442,0.35,0.701,0.245,-4.700000000000003,99.1,30.9,46.5,10.3,0.528,0.46,0.333,0.691,0.23,103.8,27.1,11.1,0.359,0.379,48.3,0.555,0.505,71.9,-10.95,9.2,-7.52,0.317,0.335,51.7,0.53,19.0,0.492,0.406,1357
258,SAINT-FRANCIS-PA,50.1,10.4,0.535,0.467,0.296,0.692,0.205,1.7999999999999972,105.1,29.0,53.2,8.8,0.501,0.428,0.237,0.729,0.173,103.3,31.1,9.3,0.395,0.366,50.0,0.528,0.469,71.3,-8.13,9.2,-7.65,0.351,0.391,50.0,0.559,17.6,0.508,0.5,1384
259,SAINT-JOSEPHS,46.6,10.7,0.466,0.418,0.401,0.65,0.261,-5.0,99.0,29.8,58.2,7.2,0.512,0.434,0.325,0.729,0.237,104.0,26.6,7.9,0.448,0.349,49.5,0.546,0.503,69.7,0.14,6.9,3.69,0.297,0.324,50.5,0.501,14.7,0.457,0.355,1386
260,SAINT-LOUIS,60.4,8.5,0.47,0.404,0.344,0.663,0.229,-12.0,93.1,24.2,63.3,12.2,0.506,0.439,0.385,0.698,0.269,105.1,27.3,9.6,0.377,0.356,51.9,0.541,0.489,65.5,-6.09,7.5,1.85,0.388,0.342,48.1,0.502,17.9,0.443,0.364,1387
261,SAINT-MARYS-CA,63.1,8.5,0.578,0.496,0.278,0.745,0.207,23.799999999999997,117.6,33.0,40.2,7.8,0.453,0.412,0.266,0.691,0.184,93.8,21.8,9.1,0.277,0.3,42.8,0.484,0.454,61.3,16.75,6.9,2.19,0.414,0.394,57.2,0.602,15.2,0.569,0.853,1388
262,SAINT-PETERS,53.3,9.6,0.512,0.436,0.331,0.701,0.232,8.200000000000003,103.2,25.4,53.6,9.4,0.481,0.416,0.292,0.689,0.201,95.0,25.6,8.0,0.412,0.319,49.9,0.511,0.484,63.5,1.6,10.9,-3.6,0.399,0.381,50.1,0.543,15.4,0.473,0.639,1389
263,SAM-HOUSTON-STATE,56.5,8.0,0.489,0.437,0.367,0.686,0.252,4.099999999999994,101.6,31.5,54.2,8.2,0.49,0.426,0.47,0.727,0.342,97.5,25.8,8.7,0.37,0.343,47.8,0.54,0.475,72.8,-7.55,9.6,-6.35,0.327,0.316,52.2,0.523,16.2,0.496,0.618,1358
264,SAMFORD,60.8,6.6,0.537,0.469,0.426,0.743,0.316,3.799999999999997,108.8,28.7,61.5,10.1,0.495,0.429,0.319,0.717,0.229,105.0,30.5,9.4,0.402,0.331,49.6,0.53,0.494,69.9,-1.87,8.5,-3.7,0.347,0.395,50.4,0.578,16.7,0.508,0.556,1359
265,SAN-DIEGO-STATE,46.0,14.0,0.478,0.416,0.353,0.698,0.247,8.799999999999997,101.8,30.0,51.2,10.2,0.447,0.388,0.318,0.707,0.225,93.0,28.7,7.9,0.366,0.324,49.1,0.486,0.424,67.0,6.88,10.2,1.47,0.392,0.317,50.9,0.515,15.0,0.481,0.576,1361
266,SAN-DIEGO,56.5,4.9,0.486,0.407,0.369,0.721,0.266,-9.099999999999994,98.7,24.1,48.2,12.1,0.525,0.459,0.356,0.683,0.243,107.8,24.9,7.2,0.36,0.366,50.7,0.553,0.511,64.8,-5.78,5.9,0.92,0.453,0.348,49.3,0.527,16.5,0.456,0.419,1360
267,SAN-FRANCISCO,49.3,7.3,0.526,0.449,0.266,0.636,0.169,6.1000000000000085,103.2,27.1,47.5,11.8,0.477,0.422,0.333,0.685,0.228,97.1,26.7,7.6,0.329,0.335,49.5,0.51,0.465,69.4,3.8,9.6,0.42,0.442,0.35,50.5,0.542,16.0,0.527,0.606,1362
268,SAN-JOSE-STATE,54.0,10.9,0.498,0.441,0.367,0.701,0.258,-2.3000000000000114,101.1,25.4,50.4,7.6,0.516,0.46,0.398,0.747,0.297,103.4,24.6,8.2,0.326,0.347,50.3,0.559,0.515,72.1,-2.84,8.7,1.74,0.328,0.348,49.7,0.534,15.5,0.486,0.467,1363
269,SANTA-CLARA,59.6,5.7,0.525,0.436,0.253,0.732,0.185,2.1999999999999886,103.1,19.1,54.1,9.6,0.514,0.452,0.35,0.686,0.24,100.9,24.8,5.9,0.329,0.377,53.2,0.543,0.488,63.8,2.69,8.0,2.03,0.466,0.382,46.8,0.551,14.6,0.483,0.515,1365
270,SAVANNAH-STATE,60.1,7.9,0.507,0.41,0.325,0.648,0.21,-7.3999999999999915,102.4,27.3,60.9,15.6,0.524,0.452,0.308,0.671,0.206,109.8,36.0,7.6,0.436,0.332,54.7,0.548,0.546,83.3,-16.04,9.3,-8.44,0.582,0.332,45.3,0.53,15.5,0.52,0.448,1366
271,SEATTLE,66.8,6.1,0.512,0.433,0.348,0.707,0.246,-2.3999999999999915,97.4,21.9,64.9,11.3,0.472,0.403,0.336,0.723,0.243,99.8,30.4,10.4,0.438,0.315,52.9,0.512,0.472,70.1,-8.36,9.3,-3.95,0.459,0.344,47.1,0.545,18.5,0.509,0.433,1370
272,SETON-HALL,46.4,6.6,0.499,0.447,0.376,0.643,0.242,4.1000000000000085,104.9,35.7,49.1,8.4,0.49,0.433,0.362,0.719,0.26,100.8,25.3,10.0,0.335,0.341,45.3,0.53,0.48,69.0,12.1,9.9,9.25,0.307,0.338,54.7,0.526,16.4,0.496,0.636,1371
273,SIENA,51.2,10.3,0.499,0.452,0.4,0.711,0.284,0.29999999999999716,105.6,35.5,47.7,8.9,0.503,0.447,0.355,0.721,0.256,105.3,29.3,9.2,0.328,0.339,46.9,0.54,0.5,70.7,-2.0,8.2,-2.23,0.286,0.327,53.1,0.539,16.7,0.502,0.5,1373
274,SOUTH-ALABAMA,51.5,10.7,0.487,0.427,0.39,0.655,0.256,-1.5999999999999943,99.4,27.6,55.0,9.1,0.508,0.442,0.399,0.697,0.278,101.0,30.6,7.6,0.38,0.348,52.3,0.544,0.5,70.8,-6.57,10.4,-2.9,0.378,0.318,47.7,0.519,16.0,0.493,0.438,1375
275,SOUTH-CAROLINA-STATE,47.7,5.3,0.481,0.431,0.305,0.691,0.211,-14.600000000000009,99.3,28.2,50.5,8.9,0.543,0.484,0.38,0.713,0.271,113.9,35.3,6.4,0.344,0.345,54.4,0.575,0.556,69.8,-18.37,7.1,-6.61,0.313,0.32,45.6,0.512,15.3,0.481,0.355,1354
276,SOUTH-CAROLINA-UPSTATE,54.3,7.9,0.528,0.458,0.312,0.657,0.205,1.8999999999999915,108.6,32.1,57.2,5.1,0.499,0.436,0.278,0.728,0.202,106.7,29.6,8.3,0.377,0.332,48.6,0.531,0.499,71.1,-7.64,7.5,-5.23,0.402,0.346,51.4,0.549,15.2,0.534,0.515,1367
277,SOUTH-CAROLINA,50.6,11.1,0.477,0.421,0.398,0.699,0.278,11.100000000000009,102.9,33.5,46.0,9.7,0.454,0.401,0.441,0.724,0.319,91.8,30.2,8.4,0.349,0.303,49.2,0.507,0.453,69.9,17.52,11.0,10.16,0.334,0.338,50.8,0.518,15.5,0.462,0.703,1376
278,SOUTH-DAKOTA-STATE,52.1,7.2,0.537,0.455,0.404,0.771,0.311,-0.6000000000000085,109.6,27.4,53.0,10.0,0.536,0.45,0.26,0.722,0.188,110.2,28.1,9.6,0.463,0.373,49.3,0.561,0.517,69.2,-2.3,7.4,-0.66,0.456,0.36,50.7,0.581,16.4,0.534,0.514,1355
279,SOUTH-DAKOTA,45.8,8.8,0.499,0.444,0.417,0.705,0.294,5.0,105.9,28.2,49.8,9.6,0.5,0.434,0.312,0.726,0.227,100.9,26.5,7.0,0.363,0.367,49.3,0.534,0.472,73.0,-0.42,9.3,-2.08,0.321,0.341,50.7,0.539,14.1,0.492,0.647,1377
280,SOUTH-FLORIDA,51.0,11.3,0.477,0.425,0.306,0.657,0.201,-13.900000000000006,93.3,30.5,64.1,11.1,0.511,0.429,0.401,0.685,0.275,107.2,34.0,11.9,0.411,0.397,51.5,0.544,0.452,69.2,-7.28,8.8,2.39,0.299,0.346,48.5,0.504,20.2,0.459,0.233,1378
281,SOUTHEAST-MISSOURI-STATE,53.3,5.9,0.518,0.449,0.35,0.742,0.26,-0.20000000000000284,105.6,25.3,55.3,8.4,0.552,0.478,0.381,0.711,0.271,105.8,29.7,6.7,0.401,0.367,53.2,0.582,0.552,70.1,-5.89,10.6,-4.28,0.377,0.367,46.8,0.556,15.6,0.499,0.455,1369
282,SOUTHEASTERN-LOUISIANA,57.2,9.2,0.51,0.45,0.381,0.683,0.26,3.9000000000000057,101.9,35.1,50.3,10.8,0.488,0.43,0.39,0.698,0.272,98.0,29.6,9.0,0.337,0.343,47.2,0.527,0.475,69.6,-7.36,9.8,-8.13,0.335,0.363,52.8,0.542,19.7,0.494,0.5,1368
283,SOUTHERN-CALIFORNIA,56.4,13.3,0.522,0.456,0.368,0.741,0.273,7.299999999999997,111.2,30.9,53.6,8.5,0.501,0.434,0.24,0.717,0.172,103.9,31.2,7.9,0.365,0.368,49.7,0.527,0.472,70.1,11.48,9.9,6.4,0.366,0.362,50.3,0.56,13.7,0.51,0.722,1425
284,SOUTHERN-ILLINOIS-EDWARDSVILLE,44.4,7.4,0.45,0.407,0.463,0.677,0.313,-11.100000000000009,95.3,31.3,56.4,8.9,0.518,0.466,0.431,0.732,0.315,106.4,27.9,8.9,0.317,0.329,49.5,0.561,0.53,70.9,-12.25,6.6,-3.29,0.288,0.292,50.5,0.497,17.5,0.454,0.2,1188
285,SOUTHERN-ILLINOIS,46.4,11.2,0.48,0.433,0.361,0.696,0.251,-1.3000000000000114,101.6,29.8,51.4,8.6,0.52,0.447,0.334,0.658,0.22,102.9,31.1,7.7,0.37,0.396,51.1,0.544,0.477,66.4,1.09,10.1,2.65,0.297,0.316,48.9,0.517,15.4,0.482,0.515,1356
286,SOUTHERN-METHODIST,61.9,11.1,0.547,0.473,0.36,0.697,0.251,22.39999999999999,116.6,37.1,55.7,8.5,0.46,0.386,0.246,0.692,0.17,94.2,26.4,7.7,0.455,0.321,43.7,0.488,0.441,63.7,18.71,9.0,4.45,0.365,0.406,56.3,0.574,14.3,0.511,0.857,1374
287,SOUTHERN-MISSISSIPPI,54.5,6.4,0.457,0.399,0.304,0.707,0.215,-13.5,91.7,23.0,60.1,11.6,0.52,0.44,0.331,0.692,0.229,105.2,25.4,8.6,0.432,0.37,51.8,0.548,0.493,67.6,-13.4,6.8,-2.78,0.379,0.305,48.2,0.493,17.0,0.457,0.29,1379
288,SOUTHERN-UTAH,46.7,9.2,0.479,0.407,0.43,0.741,0.318,-10.299999999999997,103.5,29.7,55.0,12.2,0.553,0.477,0.499,0.719,0.359,113.8,28.1,7.6,0.392,0.385,50.3,0.592,0.536,74.1,-15.58,7.5,-5.39,0.407,0.357,49.7,0.53,15.8,0.441,0.182,1381
289,SOUTHERN,46.5,9.1,0.48,0.437,0.417,0.696,0.29,-1.7999999999999972,101.9,34.1,43.6,9.8,0.479,0.427,0.373,0.667,0.249,103.7,33.5,8.3,0.328,0.315,49.2,0.513,0.482,69.9,-14.48,7.9,-11.68,0.27,0.32,50.8,0.522,16.7,0.481,0.455,1380
290,ST-BONAVENTURE,51.3,12.4,0.497,0.443,0.424,0.769,0.326,6.299999999999997,108.1,33.0,57.1,9.4,0.499,0.432,0.415,0.692,0.287,101.8,31.0,7.3,0.383,0.353,48.8,0.537,0.481,70.6,5.95,10.1,1.48,0.31,0.348,51.2,0.549,15.2,0.485,0.625,1382
291,ST-FRANCIS-NY,44.2,7.3,0.406,0.347,0.329,0.649,0.214,-16.89999999999999,89.4,29.0,47.4,9.8,0.522,0.474,0.467,0.681,0.318,106.3,32.9,7.7,0.273,0.352,54.5,0.558,0.52,68.7,-19.24,9.7,-6.54,0.423,0.279,45.5,0.444,14.9,0.398,0.129,1383
292,ST-JOHNS-NY,51.5,15.2,0.503,0.433,0.361,0.726,0.262,-2.5999999999999943,103.9,27.3,54.8,8.6,0.524,0.461,0.393,0.702,0.276,106.5,32.8,8.5,0.339,0.374,53.1,0.558,0.505,73.9,6.45,9.2,8.39,0.382,0.364,46.9,0.541,15.6,0.475,0.424,1385
293,STANFORD,54.5,7.8,0.485,0.44,0.386,0.682,0.263,-1.9000000000000057,100.1,29.6,58.6,9.0,0.52,0.444,0.378,0.694,0.263,102.0,26.9,8.9,0.4,0.382,49.1,0.552,0.486,69.4,6.39,9.8,8.59,0.28,0.32,50.9,0.521,16.1,0.487,0.452,1390
294,STEPHEN-F-AUSTIN,52.2,8.9,0.501,0.446,0.419,0.721,0.302,0.8000000000000114,99.4,34.8,51.7,8.9,0.512,0.451,0.446,0.68,0.303,98.6,28.5,10.4,0.346,0.351,46.9,0.547,0.504,69.3,-7.01,9.7,-5.75,0.345,0.319,53.1,0.544,21.6,0.513,0.545,1372
295,STETSON,49.2,5.2,0.506,0.441,0.331,0.659,0.218,-7.6000000000000085,102.6,21.8,50.3,9.9,0.517,0.454,0.311,0.695,0.216,110.2,32.0,6.8,0.362,0.347,55.1,0.545,0.515,74.9,-14.21,6.4,-5.45,0.384,0.339,44.9,0.532,13.5,0.505,0.344,1391
296,STONY-BROOK,51.5,9.4,0.471,0.404,0.329,0.721,0.237,0.5,103.4,29.5,48.6,6.7,0.507,0.439,0.401,0.701,0.281,102.9,28.8,6.6,0.363,0.375,51.1,0.544,0.475,66.9,-4.71,8.1,-5.05,0.407,0.327,48.9,0.51,13.0,0.457,0.563,1392
297,SYRACUSE,59.5,13.8,0.535,0.458,0.351,0.739,0.259,7.599999999999994,111.6,31.6,67.1,7.7,0.504,0.43,0.291,0.66,0.192,104.0,34.5,9.0,0.428,0.343,50.7,0.527,0.496,67.9,13.7,11.8,8.47,0.406,0.379,49.3,0.57,15.5,0.513,0.559,1393
298,TEMPLE,57.4,10.5,0.497,0.422,0.264,0.723,0.191,-0.3999999999999915,103.2,27.5,54.2,11.4,0.491,0.43,0.321,0.727,0.233,103.6,32.2,7.8,0.351,0.343,52.5,0.527,0.477,67.9,4.84,9.5,5.09,0.421,0.356,47.5,0.526,14.5,0.47,0.5,1396
299,TENNESSEE-MARTIN,57.5,10.4,0.537,0.468,0.333,0.688,0.229,2.5,109.0,37.6,57.8,7.7,0.521,0.444,0.301,0.708,0.213,106.5,31.9,9.1,0.438,0.35,46.8,0.549,0.517,69.8,-4.7,9.2,-4.34,0.393,0.353,53.2,0.563,18.1,0.541,0.629,1404
300,TENNESSEE-STATE,45.6,11.9,0.493,0.443,0.41,0.692,0.283,4.8999999999999915,101.8,34.6,60.1,7.6,0.486,0.407,0.47,0.692,0.325,96.9,27.7,8.0,0.454,0.348,46.7,0.53,0.455,68.7,-1.57,9.6,-2.96,0.299,0.339,53.3,0.532,18.4,0.487,0.567,1398
301,TENNESSEE-TECH,55.4,10.5,0.487,0.422,0.384,0.708,0.272,-1.0,101.7,30.1,59.8,9.7,0.502,0.434,0.384,0.739,0.283,102.7,29.9,8.1,0.398,0.344,50.4,0.545,0.493,70.1,-7.6,9.4,-4.17,0.399,0.325,49.6,0.527,16.5,0.487,0.375,1399
302,TENNESSEE,54.9,12.0,0.472,0.422,0.424,0.729,0.309,2.1000000000000085,103.7,31.9,49.0,9.1,0.487,0.427,0.43,0.699,0.3,101.6,30.3,8.3,0.336,0.356,49.5,0.529,0.464,71.5,11.28,7.6,10.18,0.304,0.326,50.5,0.521,14.9,0.464,0.5,1397
303,TEXAS-AM-CORPUS-CHRISTI,49.9,12.2,0.517,0.47,0.382,0.722,0.276,5.5,105.8,29.8,54.1,6.5,0.51,0.438,0.396,0.685,0.271,100.3,31.1,9.9,0.415,0.345,50.5,0.543,0.505,70.5,-2.97,13.1,-5.79,0.284,0.332,49.5,0.555,16.5,0.525,0.667,1394
304,TEXAS-AM,60.8,15.4,0.512,0.458,0.333,0.649,0.216,3.5999999999999943,105.1,37.5,57.6,8.8,0.472,0.404,0.281,0.73,0.205,101.5,31.3,9.9,0.387,0.352,46.3,0.507,0.437,66.8,10.36,9.0,7.97,0.327,0.329,53.7,0.536,17.8,0.521,0.516,1401
305,TEXAS-ARLINGTON,56.7,7.1,0.532,0.461,0.345,0.681,0.235,11.799999999999997,109.8,33.0,54.0,9.4,0.485,0.413,0.366,0.654,0.239,98.0,29.5,9.4,0.453,0.318,47.9,0.515,0.491,71.3,5.92,10.4,-0.87,0.424,0.337,52.1,0.558,15.8,0.552,0.75,1426
306,TEXAS-CHRISTIAN,62.1,11.9,0.527,0.466,0.323,0.686,0.222,7.299999999999997,108.8,34.3,58.7,10.0,0.504,0.443,0.307,0.685,0.21,101.5,29.2,8.4,0.339,0.361,47.3,0.532,0.485,68.3,15.64,9.6,10.95,0.346,0.354,52.7,0.553,16.1,0.525,0.615,1395
307,TEXAS-EL-PASO,57.0,9.4,0.521,0.469,0.36,0.662,0.239,0.6999999999999886,100.1,22.5,58.0,5.2,0.49,0.421,0.39,0.677,0.264,99.4,24.4,8.4,0.406,0.338,49.7,0.525,0.478,68.1,-3.13,7.8,-2.51,0.299,0.348,50.3,0.547,17.4,0.521,0.469,1431
309,TEXAS-SAN-ANTONIO,46.4,5.4,0.436,0.393,0.359,0.666,0.239,-5.0,95.2,32.4,54.1,9.7,0.499,0.434,0.374,0.674,0.252,100.2,24.1,8.4,0.37,0.35,47.4,0.531,0.484,69.3,-7.42,8.0,-3.03,0.31,0.283,52.6,0.475,15.4,0.442,0.424,1427
310,TEXAS-SOUTHERN,47.2,7.4,0.481,0.43,0.443,0.735,0.326,2.0,105.5,31.6,48.2,8.9,0.491,0.445,0.323,0.683,0.221,103.5,34.8,7.4,0.285,0.325,51.6,0.522,0.493,69.7,-6.41,10.2,-7.81,0.344,0.296,48.4,0.532,14.3,0.5,0.657,1411
311,TEXAS-STATE,60.8,13.2,0.504,0.447,0.36,0.661,0.238,6.5,102.7,28.9,47.3,10.5,0.469,0.412,0.356,0.718,0.255,96.2,28.7,8.4,0.357,0.315,49.7,0.51,0.467,64.4,-2.23,10.1,-4.29,0.34,0.33,50.3,0.532,15.7,0.508,0.611,1402
312,TEXAS-TECH,51.1,10.1,0.53,0.47,0.356,0.733,0.261,9.399999999999991,109.6,30.1,50.6,6.7,0.508,0.433,0.356,0.713,0.254,100.2,25.8,7.7,0.425,0.355,47.7,0.543,0.49,65.9,14.11,7.9,7.86,0.325,0.367,52.3,0.565,14.6,0.52,0.563,1403
313,TEXAS,46.4,11.8,0.488,0.439,0.345,0.65,0.224,-2.5999999999999943,97.9,28.4,48.3,8.5,0.481,0.424,0.3,0.716,0.215,100.5,31.2,9.4,0.346,0.326,51.1,0.515,0.477,68.5,10.99,8.4,12.75,0.335,0.292,48.9,0.515,17.1,0.513,0.333,1400
314,TOLEDO,58.4,6.2,0.547,0.48,0.384,0.695,0.267,4.400000000000006,109.7,29.1,43.0,10.7,0.509,0.461,0.265,0.683,0.181,105.3,25.3,9.5,0.302,0.321,47.2,0.533,0.521,69.2,1.16,5.5,-0.9,0.368,0.362,52.8,0.575,16.1,0.549,0.5,1405
315,TOWSON,40.9,11.1,0.488,0.447,0.457,0.682,0.312,7.099999999999994,106.6,37.3,51.1,9.6,0.486,0.418,0.464,0.687,0.318,99.5,25.6,7.8,0.399,0.34,44.4,0.529,0.47,68.8,1.84,9.8,-1.28,0.263,0.311,55.6,0.529,15.6,0.496,0.606,1406
316,TROY,49.3,9.8,0.528,0.456,0.393,0.725,0.285,8.5,110.9,31.6,49.7,9.3,0.495,0.428,0.322,0.72,0.232,102.4,28.5,8.5,0.398,0.339,48.2,0.53,0.486,70.1,-0.47,8.5,-3.36,0.403,0.359,51.8,0.565,15.3,0.522,0.595,1407
317,TULANE,53.0,10.2,0.464,0.405,0.343,0.717,0.246,-11.399999999999991,97.7,29.3,50.3,9.8,0.537,0.471,0.408,0.703,0.287,109.1,32.5,8.7,0.345,0.381,52.7,0.57,0.519,71.1,-3.98,8.6,4.25,0.368,0.324,47.3,0.505,16.3,0.452,0.194,1408
318,TULSA,51.6,7.3,0.489,0.419,0.428,0.729,0.312,-4.200000000000003,99.1,29.4,49.5,13.5,0.504,0.434,0.331,0.705,0.234,103.3,28.3,10.4,0.391,0.359,48.9,0.537,0.482,67.8,2.45,6.7,5.29,0.408,0.343,51.1,0.536,19.0,0.472,0.469,1409
319,UCLA,63.7,12.5,0.598,0.522,0.268,0.738,0.198,19.200000000000003,121.0,28.9,46.8,4.4,0.487,0.422,0.254,0.679,0.173,101.8,28.4,8.5,0.358,0.365,47.6,0.512,0.453,74.2,20.67,7.9,6.39,0.376,0.406,52.4,0.618,13.4,0.591,0.861,1417
320,UTAH-STATE,59.4,7.9,0.534,0.465,0.351,0.699,0.245,4.099999999999994,105.6,24.7,56.5,8.6,0.485,0.422,0.332,0.697,0.231,101.5,25.8,9.2,0.381,0.333,48.8,0.519,0.476,68.9,2.9,7.2,2.46,0.363,0.379,51.2,0.563,15.9,0.515,0.469,1429
321,UTAH-VALLEY,59.8,8.6,0.511,0.437,0.378,0.708,0.268,5.199999999999989,100.1,24.2,51.4,8.6,0.467,0.415,0.338,0.672,0.227,94.9,24.1,9.0,0.329,0.316,48.8,0.5,0.463,75.5,-1.22,8.3,-2.44,0.462,0.32,51.2,0.547,17.9,0.537,0.5,1430
